serial_no,floor_level,zone_id,Date,Month,ta,lux,spl
40A249A8,28,50,2019/10/5,10,25.89,0,44
40A249A8,28,50,2019/10/5,10,25.87,0,44
40A249A8,28,50,2019/10/5,10,25.85,0,44
40A249A8,28,50,2019/10/5,10,25.84,0,44
40A249A8,28,50,2019/10/5,10,25.84,0,44
40A249A8,28,50,2019/10/5,10,25.83,0,44
40A249A8,28,50,2019/10/5,10,25.81,0,44
40A249A8,28,50,2019/10/5,10,25.79,0,43
40A249A8,28,50,2019/10/5,10,25.76,0,44
40A249A8,28,50,2019/10/5,10,25.74,0,44
40A249A8,28,50,2019/10/5,10,25.73,0,44
40A249A8,28,50,2019/10/5,10,25.71,0,44
40A249A8,28,50,2019/10/5,10,25.7,0,44
40A249A8,28,50,2019/10/5,10,25.7,0,44
40A249A8,28,50,2019/10/5,10,25.69,0,44
40A249A8,28,50,2019/10/5,10,25.69,0,44
40A249A8,28,50,2019/10/5,10,25.68,0,44
40A249A8,28,50,2019/10/5,10,25.65,0,44
40A249A8,28,50,2019/10/5,10,25.64,0,44
40A249A8,28,50,2019/10/5,10,25.64,0,44
40A249A8,28,50,2019/10/5,10,25.64,0,44
40A249A8,28,50,2019/10/5,10,25.63,0,44
40A249A8,28,50,2019/10/5,10,25.62,0,44
40A249A8,28,50,2019/10/5,10,25.61,0,44
40A249A8,28,50,2019/10/5,10,25.6,0,44
40A249A8,28,50,2019/10/5,10,25.59,0,44
40A249A8,28,50,2019/10/5,10,25.59,0,44
40A249A8,28,50,2019/10/5,10,25.58,0,44
40A249A8,28,50,2019/10/5,10,25.57,0,44
40A249A8,28,50,2019/10/5,10,25.57,0,44
40A249A8,28,50,2019/10/5,10,25.56,0,44
40A249A8,28,50,2019/10/5,10,25.55,0,44
40A249A8,28,50,2019/10/5,10,25.55,0,44
40A249A8,28,50,2019/10/5,10,25.55,0,44
40A249A8,28,50,2019/10/6,10,25.55,0,44
40A249A8,28,50,2019/10/6,10,25.54,0,44
40A249A8,28,50,2019/10/6,10,25.53,0,44
40A249A8,28,50,2019/10/6,10,25.52,0,44
40A249A8,28,50,2019/10/6,10,25.53,0,44
40A249A8,28,50,2019/10/6,10,25.52,0,43
40A249A8,28,50,2019/10/6,10,25.5,0,44
40A249A8,28,50,2019/10/6,10,25.5,0,44
40A249A8,28,50,2019/10/6,10,25.5,0,44
40A249A8,28,50,2019/10/6,10,25.49,0,44
40A249A8,28,50,2019/10/6,10,25.49,0,44
40A249A8,28,50,2019/10/6,10,25.49,0,44
40A249A8,28,50,2019/10/6,10,25.48,0,43
40A249A8,28,50,2019/10/6,10,25.47,0,43
40A249A8,28,50,2019/10/6,10,25.46,0,43
40A249A8,28,50,2019/10/6,10,25.46,0,44
40A249A8,28,50,2019/10/6,10,25.46,0,44
40A249A8,28,50,2019/10/6,10,25.47,0,44
40A249A8,28,50,2019/10/6,10,25.48,0,44
40A249A8,28,50,2019/10/6,10,25.46,0,44
40A249A8,28,50,2019/10/6,10,25.46,0,44
40A249A8,28,50,2019/10/6,10,25.45,0,44
40A249A8,28,50,2019/10/6,10,25.45,0,44
40A249A8,28,50,2019/10/6,10,25.43,0,44
40A249A8,28,50,2019/10/6,10,25.41,0,44
40A249A8,28,50,2019/10/6,10,25.4,0,44
40A249A8,28,50,2019/10/6,10,25.4,0,44
40A249A8,28,50,2019/10/6,10,25.4,0,44
40A249A8,28,50,2019/10/6,10,25.4,0,44
40A249A8,28,50,2019/10/6,10,25.4,0,44
40A249A8,28,50,2019/10/6,10,25.4,0,44
40A249A8,28,50,2019/10/6,10,25.4,0,44
